acc,org,hit_len,ident_local,ident_qfull,cov,evalue,bits
5IG9_A,Microcystis aeruginosa MRC,333,100.0,100.0,100.0,0.0,692.96
WP_002792265,Microcystis aeruginosa,324,100.0,97.3,97.3,0.0,671.003
WP_150975421,Microcystis aeruginosa,324,99.1,96.4,97.3,0.0,666.381
WP_272015294,Microcystis aeruginosa,324,99.4,96.7,97.3,0.0,666.381
WP_288032792,Microcystis sp. LE18-22.4A,324,99.1,96.4,97.3,0.0,666.381
WP_287107198,unclassified Microcystis (in: cyanobacteria),324,98.8,96.1,97.3,0.0,664.84
WP_430012987,Microcystis,324,99.1,96.4,97.3,0.0,664.84
WP_271925594,Microcystis aeruginosa,324,99.1,96.4,97.3,0.0,664.455
YEI30208,Microcystis aeruginosa C-1004,324,98.8,96.1,97.3,0.0,664.07
WP_193977155,Microcystis aeruginosa,324,98.8,96.1,97.3,0.0,664.07
WP_110578309,Microcystis aeruginosa,324,98.8,96.1,97.3,0.0,664.07
WP_002758980,Microcystis,324,98.5,95.8,97.3,0.0,664.07
WP_288116654,Microcystis sp. M53598_WE2,324,98.8,96.1,97.3,0.0,663.685
NCR20760,Microcystis aeruginosa L111-01,324,98.5,95.8,97.3,0.0,663.685
WP_147068893,Microcystis aeruginosa,324,98.8,96.1,97.3,0.0,663.685
WP_185239176,Microcystis aeruginosa,324,98.8,96.1,97.3,0.0,663.3
MHS8157830,Microcystis aeruginosa,324,98.5,95.8,97.3,0.0,663.3
GBF52747,Microcystis sp. 0824,343,98.5,95.8,97.3,0.0,663.3
MDJ0543153,Microcystis sp. M53601_WE4,324,98.5,95.8,97.3,0.0,662.914
MCZ8127597,Microcystis sp. LE19-114.1B,324,98.8,96.1,97.3,0.0,662.914
WP_002733569,Microcystis,324,98.5,95.8,97.3,0.0,662.914
WP_016517285,Microcystis aeruginosa,324,98.8,96.1,97.3,0.0,662.914
WP_125730166,Microcystis viridis,324,98.8,96.1,97.3,0.0,662.914
WP_069474628,Microcystis,324,98.5,95.8,97.3,0.0,662.529
WP_061430270,Microcystis,324,98.5,95.8,97.3,0.0,662.144
WP_159249523,Microcystis,324,98.5,95.8,97.3,0.0,662.144
WP_287170566,unclassified Microcystis (in: cyanobacteria),324,98.5,95.8,97.3,0.0,662.144
WP_012265553,Microcystis,324,98.5,95.8,97.3,0.0,661.759
WP_149988297,Microcystis,324,98.5,95.8,97.3,0.0,661.374
MHS8213813,Microcystis aeruginosa,324,98.1,95.5,97.3,0.0,661.374
TRU23698,Microcystis aeruginosa Ma_QC_B_20070730_S2,324,98.5,95.8,97.3,0.0,660.988
WP_288125351,Microcystis sp. LE19-131.1A,324,97.8,95.2,97.3,0.0,660.603
WP_193960279,Microcystis,324,98.1,95.5,97.3,0.0,660.603
WP_079207919,Microcystis aeruginosa,324,98.1,95.5,97.3,0.0,660.218
WP_272082651,Microcystis aeruginosa,324,98.1,95.5,97.3,0.0,660.218
WP_149977312,Microcystis aeruginosa,324,98.1,95.5,97.3,0.0,660.218
WP_002775792,Microcystis aeruginosa,324,97.8,95.2,97.3,0.0,660.218
WP_002801149,Microcystis,324,98.1,95.5,97.3,0.0,660.218
NCR77134,Microcystis aeruginosa K13-06,324,98.5,95.8,97.3,0.0,659.833
WP_409792963,Microcystis sp.,324,98.1,95.5,97.3,0.0,659.833
WP_288137519,Microcystis sp.,324,98.1,95.5,97.3,0.0,659.448
WP_471784252,Microcystis aeruginosa,324,97.8,95.2,97.3,0.0,659.448
WP_287657075,unclassified Microcystis (in: cyanobacteria),324,97.8,95.2,97.3,0.0,659.062
WP_409880221,Microcystis sp.,324,98.1,95.5,97.3,0.0,659.062
WP_419547864,Microcystis sp.,324,97.8,95.2,97.3,0.0,658.677
TRU35178,Microcystis aeruginosa Ma_MB_F_20061100_S20D,324,97.8,95.2,97.3,0.0,658.292
WP_409814953,Microcystis sp.,324,97.8,95.2,97.3,0.0,657.907
TRU44450,Microcystis aeruginosa Ma_QC_Ch_20071001_S25D,324,98.1,95.5,97.3,0.0,657.907
WP_287700569,unclassified Microcystis (in: cyanobacteria),324,97.5,94.9,97.3,0.0,657.522
WP_472408177,Microcystis aeruginosa,324,97.8,95.2,97.3,0.0,657.522
WP_004158185,Microcystis,324,97.5,94.9,97.3,0.0,657.136
WP_190722167,Microcystis,324,97.5,94.9,97.3,0.0,657.136
WP_409871806,Microcystis sp.,324,97.5,94.9,97.3,0.0,656.751
WP_272076819,Microcystis aeruginosa,324,97.5,94.9,97.3,0.0,656.366
NCQ99313,Microcystis aeruginosa L211-11,324,97.8,95.2,97.3,0.0,656.366
MCU7243029,Microcystis aeruginosa WS75,324,97.5,94.9,97.3,0.0,655.981
ARI80133,Microcystis aeruginosa PCC 7806SL,343,97.5,94.9,97.3,0.0,655.981
WP_130757350,Microcystis aeruginosa,324,97.8,95.2,97.3,0.0,655.981
NCS42259,Microcystis aeruginosa BS11-05,324,97.5,94.9,97.3,0.0,655.981
AKE65548,Microcystis aeruginosa NIES-2549,343,97.5,94.9,97.3,0.0,655.981
WP_287077885,unclassified Microcystis (in: cyanobacteria),324,97.2,94.6,97.3,0.0,655.596
WP_002740465,Microcystis aeruginosa,324,97.5,94.9,97.3,0.0,655.596
MFM7877346,Microcystis panniformis,324,97.2,94.6,97.3,0.0,655.21
WP_046662771,Microcystis aeruginosa,324,97.5,94.9,97.3,0.0,655.21
MHS8309192,Microcystis aeruginosa,324,97.2,94.6,97.3,0.0,655.21
WP_008201946,Microcystis,324,97.2,94.6,97.3,0.0,654.825
WP_288057709,unclassified Microcystis (in: cyanobacteria),324,97.5,94.9,97.3,0.0,654.44
WP_288026351,Microcystis sp. LE19-10.1B,324,97.2,94.6,97.3,0.0,654.44
NCR53829,Microcystis aeruginosa L211-07,324,97.2,94.6,97.3,0.0,654.44
WP_287686896,unclassified Microcystis (in: cyanobacteria),324,97.2,94.6,97.3,0.0,653.67
WP_271950592,Microcystis aeruginosa,324,97.2,94.6,97.3,0.0,653.67
WP_473110456,Microcystis aeruginosa,324,97.2,94.6,97.3,0.0,653.67
NCT43441,Microcystis aeruginosa G11-09,324,97.5,94.9,97.3,0.0,653.67
MFM7903747,Microcystis sp.,324,97.2,94.6,97.3,0.0,653.284
WP_287670501,unclassified Microcystis (in: cyanobacteria),324,97.2,94.6,97.3,0.0,653.284
WP_287971313,unclassified Microcystis (in: cyanobacteria),324,97.2,94.6,97.3,0.0,652.899
NCS57472,Microcystis aeruginosa G11-04,324,97.2,94.6,97.3,0.0,652.899
NCS39942,Microcystis aeruginosa BS13-10,324,96.9,94.3,97.3,0.0,652.514
NCR16471,Microcystis aeruginosa LL13-03,324,97.2,94.6,97.3,0.0,652.129
MCZ8191464,Microcystis sp. LE19-338.1B,324,97.2,94.6,97.3,0.0,652.129
MEY3553950,Cyanobacteriota bacterium,324,97.2,94.6,97.3,0.0,652.129
NCQ83226,Microcystis aeruginosa W13-18,324,96.9,94.3,97.3,0.0,651.744
NCS27826,Microcystis aeruginosa F13-15,324,96.6,94.0,97.3,0.0,651.744
NCR57309,Microcystis aeruginosa LL13-06,324,97.2,94.6,97.3,0.0,651.744
MFM6372459,Microcystis panniformis,324,96.9,94.3,97.3,0.0,651.744
MBE5228621,Microcystis aeruginosa PMC 728.11,324,96.6,94.0,97.3,0.0,651.744
MFN9734330,Microcystis sp.,324,96.9,94.3,97.3,0.0,651.358
MFM6058030,Microcystis aeruginosa,324,96.6,94.0,97.3,0.0,651.358
WP_002789136,Microcystis aeruginosa,324,96.9,94.3,97.3,0.0,651.358
WP_374809216,Microcystis sp. BLCC-F209,324,96.6,94.0,97.3,0.0,651.358
WP_194032419,Microcystis sp. LEGE 00066,324,96.9,94.3,97.3,0.0,651.358
MFM6320910,Microcystis panniformis,324,96.6,94.0,97.3,0.0,650.973
WP_288141459,Microcystis sp. LE19-84.1B,324,96.3,93.7,97.3,0.0,650.973
WP_287629793,unclassified Microcystis (in: cyanobacteria),324,96.3,93.7,97.3,0.0,650.588
WP_193957891,Microcystis aeruginosa,324,96.9,94.3,97.3,0.0,650.588
TRU70660,Microcystis viridis Mv_BB_P_19951000_S69,324,97.2,94.6,97.3,0.0,650.588
MCA2554826,Microcystis sp. M04BS1,324,96.6,94.0,97.3,0.0,650.203
MHS1747625,Microcystis aeruginosa,319,98.1,94.0,95.8,0.0,650.203
WP_052277125,Microcystis,324,96.6,94.0,97.3,0.0,650.203
TRU23567,Microcystis aeruginosa Ma_MB_S_20031200_S102D,324,96.9,94.3,97.3,0.0,650.203
MFM8307168,Microcystis aeruginosa,324,96.6,94.0,97.3,0.0,649.432
WP_271974572,Microcystis aeruginosa,324,96.9,94.3,97.3,0.0,649.047
MFM7276947,Microcystis aeruginosa,324,96.6,94.0,97.3,0.0,648.662
WP_002796711,Microcystis aeruginosa,324,96.3,93.7,97.3,0.0,648.277
WP_271989008,Microcystis aeruginosa,324,96.3,93.7,97.3,0.0,648.277
WP_271956498,Microcystis aeruginosa,324,96.3,93.7,97.3,0.0,647.506
REJ52588,Microcystis aeruginosa DA14,317,98.1,93.4,95.2,0.0,647.506
TRV54454,Microcystis panniformis Mp_GB_SS_20050300_S99,325,96.6,93.7,97.0,0.0,645.966
MEB3121224,Snowella sp.,324,95.7,93.1,97.3,0.0,645.966
WP_375328977,Microcystis sp. BLCC-F210,324,96.3,93.7,97.3,0.0,645.58
TRU87449,Microcystis novacekii Mn_MB_F_20050700_S1,324,95.7,93.1,97.3,0.0,645.195
TRV58600,Microcystis panniformis Mp_MB_F_20051200_S9,327,97.2,93.7,96.4,0.0,645.195
MFM7351968,Microcystis aeruginosa,322,96.0,92.8,96.7,0.0,641.728
MDJ0561071,Microcystis sp. M53599_WE4,312,98.1,91.9,93.7,0.0,637.106
UXE58908,Woronichinia naegeliana WA131,324,88.3,85.9,97.3,0.0,598.971
MEB3189626,Snowella sp.,324,87.0,84.7,97.3,0.0,593.964
MFM7883934,Microcystis panniformis,274,98.2,80.8,82.3,0.0,560.451
MFM6408697,Microcystis sp.,276,96.7,80.2,82.9,0.0,552.747
MFZ4443024,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,551.206
WP_424052444,Planktothrix agardhii,330,80.4,77.8,96.7,0.0,551.206
WP_227351157,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,550.821
WP_235751941,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,550.051
WP_254172050,Planktothrix agardhii,330,80.1,77.5,96.7,0.0,550.051
